show_id,company_id
722,992
724,264
724,993
724,994
724,995
724,996
725,997
725,998
727,115
727,999
727,14
728,1000
728,325
729,371
730,267
732,1001
732,1002
732,26
733,1003
733,1004
733,84
734,1005
734,705
735,1006
735,1007
736,1008
736,1009
736,1010
737,624
737,1011
737,892
738,636
738,538
738,210
739,158
739,666
740,1012
740,1013
740,1014
740,1015
741,124
742,19
742,1016
742,1017
743,267
744,1018
744,14
745,207
747,1019
748,84
748,193
749,110
749,112
750,378
751,182
752,582
753,504
753,1020
754,1021
755,607
755,267
756,50
757,321
757,50
758,264
758,1022
760,1023
761,37
762,113
763,94
764,113
765,1024
765,1025
765,1026
765,887
766,124
767,14
767,1027
767,293
768,503
770,439
770,1028
770,1029
770,177
770,891
771,227
771,499
771,1030
772,265
772,1031
773,582
773,15
773,165
774,130
774,1032
775,1033
775,495
775,1034
775,1035
775,433
777,50
777,84
777,194
778,437
778,266
778,1036
779,207
781,266
781,1037
782,135
782,194
783,628
784,1038
784,1039
785,1040
785,1041
785,628
785,242
785,1042
786,613
786,23
786,592
786,19
787,154
787,26
787,1043
788,352
788,158
788,425
789,32
789,1044
790,113
791,1045
791,14
791,1046
791,1047
792,469
793,1048
793,1049
794,807
795,1050
795,1051
796,693
797,1052
797,255
797,1053
797,1054
798,95
798,98
798,602
798,99
798,1055
798,94
799,698
799,418
799,1056
799,1057
799,182
800,84
800,1007
801,1058
801,255
803,1059
804,8
804,986
804,489
805,264
805,994
805,1060
806,356
807,601
807,538
807,816
807,133
807,776
807,777
808,1026
808,1061
809,1062
809,682
809,1063
809,210
809,1064
809,587
809,1065
809,816
809,133
809,1066
809,1067
809,1068
810,322
810,50
811,1069
811,819
812,253
812,365
813,1070
815,606
815,271
816,705
818,1071
818,1021
818,1072
818,865
819,1073
819,1074
819,1075
820,523
820,841
820,8
821,37
821,499
821,456
821,227
822,14
822,29
823,207
824,207
824,1076
824,397
825,253
825,365
827,628
828,196
828,582
829,1077
830,1078
830,1079
830,1080
831,828
832,196
832,84
833,723
833,113
833,722
834,93
835,158
835,1081
836,1082
836,1083
836,1084
837,145
837,158
838,267
838,1085
839,1086
839,1087
840,1088
840,1089
840,1090
840,1091
841,381
841,370
841,91
841,131
841,584
841,586
841,979
842,267
843,834
843,1092
843,19
844,1093
844,1094
844,91
845,279
845,23
847,1095
847,1096
847,1097
848,115
848,14
849,244
849,638
849,639
850,1098
851,264
851,1099
852,183
852,254
853,19
854,936
854,14
855,1100
856,259
856,1101
857,592
857,472
857,452
859,56
859,563
860,19
860,452
861,265
861,266
862,999
862,717
863,1102
863,266
864,1103
865,26
865,31
865,1104
866,1105
866,1106
866,920
867,408
867,555
868,204
869,1107
870,1108
871,582
871,165
872,266
872,1109
873,102
873,1110
874,1111
874,1112
875,1113
875,1114
875,1115
876,1116
876,242
877,464
877,252
878,187
878,1117
879,1118
879,1119
879,902
879,158
879,19
880,1120
880,8
881,105
883,847
883,666
884,1121
884,925
884,56
885,58
886,169
886,1122
886,306
887,5
888,959
888,1123
888,1124
889,84
889,1004
890,640
890,641
890,18
890,14
891,788
891,1125
892,23
892,68
892,613
892,1126
892,1127
893,177
893,1128
893,1129
893,558
894,1130
894,1131
895,192
895,84
895,194
896,1132
898,504
898,1133
898,1134
898,735
898,829
898,98
898,100
899,67
899,275
899,244
900,661
902,1135
904,84
904,1136
904,1137
904,530
904,1138
906,841
907,1139
907,1036
908,196
908,14
909,459
909,1140
909,1141
910,686
910,32
911,1142
911,893
911,1143
911,1144
912,1145
912,1146
913,1147
913,268
913,1148
914,1149
914,115
914,14
915,1150
916,1151
916,163
916,1152
917,1153
917,14
918,113
919,972
919,1154
919,869
920,14
920,1155
921,267
922,266
922,1102
923,651
924,333
924,264
925,378
925,119
926,267
927,183
928,1156
929,113
930,1157
930,724
930,725
931,68
932,558
933,1158
934,252
935,1159
935,1160
936,1161
936,606
936,1162
937,1163
938,1164
939,113
940,1165
940,1166
941,1167
942,1168
942,1169
942,798
942,1170
942,1171
943,1172
943,1173
944,648
944,649
945,523
945,1174
945,1175
946,650
946,1176
946,227
946,264
947,1177
947,1178
947,1179
948,62
948,1180
948,1181
948,1182
948,314
948,23
949,271
949,270
950,1183
950,1184
951,50
951,1185
952,1186
952,19
952,1187
953,1188
953,1189
953,1190
954,23
954,948
954,1191
954,1192
954,1193
955,607
955,1194
955,267
956,907
956,1195
956,134
956,503
956,1196
956,1197
956,1198
956,816
956,583
956,1199
957,573
957,1200
958,1116
959,924
959,155
960,503
961,84
961,228
961,227
961,1201
963,113
964,280
964,23
966,498
967,1202
967,1203
967,187
967,56
967,1204
968,1205
969,1206
970,407
970,182
970,555
971,1207
972,998
972,997
972,356
973,682
973,587
973,1208
973,1209
973,454
973,1068
973,816
973,528
973,601
974,244
974,15
974,375
976,267
978,750
979,271
980,1210
980,131
980,98
980,91
981,1211
981,1212
981,1213
981,84
982,14
982,1214
982,1215
983,18
983,14
983,19
984,1216
985,606
985,271
986,503
986,1217
987,1218
987,1219
987,1220
988,1221
988,1222
989,266
990,84
991,1223
991,1224
991,19
992,23
992,59
992,1225
993,1226
994,64
994,39
994,38
995,14
995,105
996,266
998,182
1001,1227
1001,28
1002,1228
1002,113
1004,1229
1005,366
1005,262
1005,367
1005,162
1006,441
1006,91
1006,727
1007,405
1007,406
1007,19
1007,269
1007,1230
1008,628
1009,1231
1009,207
1009,1232
1009,828
1009,525
1010,1233
1010,1229
1011,1234
1012,8
1012,1235
1012,25
1012,1236
1012,1237
1013,1238
1013,1239
1013,1240
1013,1241
1013,1242
1014,582
1015,266
1015,1243
1016,1244
1016,1245
1016,1246
1017,14
1017,1247
1018,1248
1018,49
1018,1227
1018,1249
1019,1250
1019,258
1020,158
1020,145
1021,1095
1021,1251
1022,56
1022,841
1022,1252
1022,1253
1023,14
1023,196
1023,1254
1023,19
1024,345
1024,1255
1025,1256
1026,487
1027,266
1027,1257
1028,1258
1029,916
1029,266
1030,71
1031,1259
1031,156
1031,37
1032,1260
1032,23
1032,1261
1033,524
1034,1262
1035,1263
1036,1264
1036,1265
1036,424
1036,1266
1036,1267
1036,242
1036,1042
1036,120
1036,1268
1037,380
1037,91
1037,99
1037,1269
1037,100
1037,131
1037,1270
1037,538
1038,293
1038,14
1038,1104
1038,244
1039,222
1039,1271
1041,14
1041,166
1042,628
1044,82
1044,1272
1044,177
1046,1273
1047,1274
1047,592
1048,1275
1049,743
1049,1276
1049,255
1050,93
1050,955
1050,479
1051,606
1052,113
1053,365
1053,257
1054,204
1055,82
1055,19
1055,1277
1056,182
1057,907
1057,955
1057,1278
1057,479
1058,113
1059,1279
1060,1280
1060,718
1061,1281
1061,1282
1061,19
1063,793
1064,1283
1064,19
1065,1284
1065,303
1066,18
1066,14
1066,1285
1066,1286
1066,1287
1067,215
1068,328
1068,84
1069,37
1070,522
1071,45
1071,1288
1071,214
1073,207
1074,1289
1075,121
1075,91
1075,92
1075,131
1075,99
1075,100
1076,1290
1077,439
1077,1291
1078,84
1078,1292
1079,582
1079,165
1080,1293
1080,1294
1081,1295
1082,734
1083,322
1083,1296
1083,1297
1086,1298
1087,582
1087,165
1088,23
1088,1299
1088,1300
1088,279
1088,917
1089,145
1090,1301
1091,56
1091,1283
1091,1302
1092,84
1092,196
1093,1023
1095,1303
1095,1304
1095,23
1096,1305
1096,1306
1097,353
1098,113
1100,1307
1100,908
1101,1308
1102,355
1102,1309
1104,1310
1105,113
1106,37
1106,1311
1106,1312
1106,157
1107,1003
1107,1211
