network_id,network_name
988,Cinema Heaven
989,iHQ
990,MBC every1
991,RTL II
992,BNN
993,Video Pass
994,TELASA
995,Paramount Comedy 1
996,NHK＋
997,RTÉjr
998,Carousel
999,Russia-Kultura
1000,Discovery Health Channel
1001,Centric
1002,Hallmark Movies & Mysteries
1003,HRT 1
1004,OLL.TV
1005,Planeta Junior
1006,Boing
1007,KTH
1008,DAZN
1009,Tiji
1010,W.
1011,ART Hekayat
1012,ART Hekayat Kaman
1013,Al-Nahar One
1014,movie
1015,AVA
1016,Q2
1017,ABC Spark
1018,NFL Network
1019,Sky Documentaries
1020,Pivot
1021,Super Écran
1022,Kabillion
1023,Hami Video
1024,CHT MOD
1025,MTV Nederland
1026,TVNorge
1027,Premiere
1028,Rai YoYo
1029,FBS
1030,HTV
1031,FCT
1032,MMT
1033,TeNY
1034,RNC
1035,KKT
1036,Brasil Paralelo
1037,Vrai
1038,MBC M
1039,RTL2
1040,El Nueve
1041,SBS funE
1042,13e rue
1043,HLN
1044,Antena 1
1045,ТВ-3
1046,MBC 5
1047,Al-Nahar Drama
1048,Fox Soccer
1049,LCP - Assemblée nationale
1050,Taiwan+
1051,Universal Kids
1052,TV B92
1053,National Iranian Radio and Television
1054,8TV
1055,TV9
1056,MNCTV
1057,Astro Prima
1058,RTM2
1059,Hungama
1060,Astro Ceria
1061,MediaCorp Channel Suria
1062,The Nashville Network
1063,EMPC TV
1064,Sky Vision
1065,TLC Go
1066,kykNET
1067,BS12 TwellV
1068,TV JOJ
1069,Rishtey TV
1070,MBC Bollywood
1071,Star India
1072,Filmnet
1073,Histoire TV
1074,NDTV Imagine
1075,SDTV-1
1076,SBS6
1077,skyTV
1078,Canal Famille
1079,Encuentro
1080,The Zeus Network
1081,HGTV Canada
1082,Télétoon
1083,Action
1084,WWOR-TV
1085,Pluto TV
1086,TV5Monde
1087,WPVI-TV
1088,SABC 2
1089,La Sept
1090,A2Z
1091,NOVE
1092,WHYNOT
1093,Mediaset Premium
1094,EPIC
1095,Coture
1096,Yahoo! TV
1097,APTN
1098,DR Ultra
1099,BS Japan
1100,TV 8
1101,T+E
1102,NowThatsTV
1103,All-Nippon News Network
1104,Snapchat
1105,ERTFLIX
1106,Alsumaria
1107,Salto
1108,EbonyLife TV
1109,MEGA
1110,Amarin TV
1111,Star
1112,央视网
1113,Crypt TV
1114,BBC Kids
1115,Investigação Discovery
1116,Al Araby
1117,Sogou TV
1118,AOL
1119,SHENZHEN SATELLITE TV
1120,Canal Brasil
1121,Gshow
1122,ViuTV
1123,TVP VOD
1124,VH1 Classic
1125,Fox8
1126,W9
1127,iQiyi (CN)
1128,OCN movies
1129,Nelonen
1130,Filmin
1131,Shanghai Television
1132,KBS Story
1133,سورية دراما
1134,SIC Radical
1135,Warner TV Serie
1136,Geo TV
1137,TV 2 Echo
1138,C8
1139,Viasat Film
1140,SVT
1141,Telfaz11
1142,FOXlife
1143,Warner TV Comedy
1144,AtomFilms
1145,Toei Tokusatsu Fan Club
1146,KTLA
1147,4fun.tv
1148,DIY Network
1149,Canal 10
1150,MAX
1151,Decades
1152,Sky3
1153,Kijk (NL)
1154,EBC Drama
1155,True4U
1156,Rete 4
1157,ZTV
1158,SFB
1159,HDNet
1160,Comet
1161,CHARGE!
1162,HonorClub
1163,QQLive
1164,ZDFkultur
1165,Anime Houdai
1166,Video Market
1167,music.jp
1168,DMM.com
1169,GYAO! Store
1170,animeteleto
1171,Movie Full+
1172,Happy! Douga
1173,ABEMA Video
1174,América TV
1175,OSN
1176,MediaCorp Channel 5
1177,Galaxy
1178,Sky Sports
1179,Net5
1180,DD Metro
1181,Odyssey Network
1182,Gemini TV
1183,JIM
1184,Kabel 1 Doku
1185,La Trois
1186,ARY Digital
1187,Tipik
1188,Prima
1189,RTP2
1190,The Horror Collective
1191,Entertainment Squad
1192,Bibel TV
1193,Locomotion TV
1194,8XM
1195,Jalwa
1196,PlayTV
1197,Ary Musik
1198,A Plus
1199,Express Entertainment
1200,Urdu 1
1201,Geo Entertainment
1202,VRT MAX
1203,Aragón TV
1204,Voyage
1205,BBC World News
1206,BBC News
1207,Dream TV
1208,NCRV
1209,Olive
