date,date_id,year,month,day
2005-03-25,3273,2005,3,25
2016-05-20,3274,2016,5,20
2011-01-08,3275,2011,1,8
1982-06-29,3276,1982,6,29
2010-02-08,3277,2010,2,8
1977-12-30,3278,1977,12,30
2001-11-15,3279,2001,11,15
1989-01-03,3280,1989,1,3
2004-06-04,3281,2004,6,4
1988-01-17,3282,1988,1,17
2011-04-05,3283,2011,4,5
1999-05-06,3284,1999,5,6
2007-03-11,3285,2007,3,11
2010-05-19,3286,2010,5,19
1995-04-06,3287,1995,4,6
2013-03-19,3288,2013,3,19
2022-09-14,3289,2022,9,14
2001-04-16,3290,2001,4,16
2017-08-31,3291,2017,8,31
2023-05-01,3292,2023,5,1
1995-10-23,3293,1995,10,23
2015-10-29,3294,2015,10,29
2012-06-30,3295,2012,6,30
2015-07-15,3296,2015,7,15
1983-08-01,3297,1983,8,1
2009-07-02,3298,2009,7,2
2017-07-31,3299,2017,7,31
2020-05-04,3300,2020,5,4
1982-01-07,3301,1982,1,7
1962-10-01,3302,1962,10,1
2005-09-09,3303,2005,9,9
1997-05-09,3304,1997,5,9
1999-10-11,3305,1999,10,11
2002-11-24,3306,2002,11,24
1998-01-01,3307,1998,1,1
2000-04-19,3308,2000,4,19
2015-05-05,3309,2015,5,5
1997-05-11,3310,1997,5,11
1998-03-15,3311,1998,3,15
2001-11-14,3312,2001,11,14
2014-04-07,3313,2014,4,7
2023-02-16,3314,2023,2,16
2010-02-16,3315,2010,2,16
2001-12-02,3316,2001,12,2
2009-03-15,3317,2009,3,15
2019-02-22,3318,2019,2,22
2012-09-10,3319,2012,9,10
2012-02-12,3320,2012,2,12
2003-10-05,3321,2003,10,5
2021-02-28,3322,2021,2,28
2015-03-24,3323,2015,3,24
2009-01-13,3324,2009,1,13
1988-03-06,3325,1988,3,6
2011-09-03,3326,2011,9,3
2022-10-15,3327,2022,10,15
2023-04-02,3328,2023,4,2
2023-03-17,3329,2023,3,17
2004-06-07,3330,2004,6,7
1990-09-28,3331,1990,9,28
2012-04-13,3332,2012,4,13
2015-03-02,3333,2015,3,2
2011-10-16,3334,2011,10,16
2012-07-24,3335,2012,7,24
2010-05-16,3336,2010,5,16
2014-02-25,3337,2014,2,25
2019-06-01,3338,2019,6,1
1986-09-15,3339,1986,9,15
1998-09-09,3340,1998,9,9
1982-03-25,3341,1982,3,25
1995-01-11,3342,1995,1,11
2006-03-21,3343,2006,3,21
2021-08-04,3344,2021,8,4
2015-05-25,3345,2015,5,25
2015-08-20,3346,2015,8,20
1975-12-16,3347,1975,12,16
1999-12-25,3348,1999,12,25
2006-09-07,3349,2006,9,7
2014-07-23,3350,2014,7,23
