number_of_seasons,number_of_episodes,episode_run_time,in_production,show_attributes_id
8,83,0,True,128
1,6,47,False,129
11,250,25,False,130
1,8,0,True,131
4,40,50,False,132
1,293,25,True,133
6,86,0,False,134
1,7,60,False,135
5,51,50,True,136
11,134,57,False,137
3,24,36,False,138
1,10,0,False,139
7,91,60,False,140
2,26,53,False,141
3,33,53,False,142
10,208,42,True,143
2,23,55,False,144
6,52,25,False,145
6,96,43,True,146
3,24,60,False,147
5,100,46,False,148
7,110,42,False,149
6,127,22,True,150
3,39,43,False,151
2,19,50,False,152
6,76,25,False,153
4,48,24,False,154
8,178,42,False,155
6,62,43,False,156
6,148,23,False,157
3,43,44,True,158
20,457,45,True,159
3,24,60,True,160
4,78,43,False,161
11,239,42,True,162
4,40,0,True,163
4,44,0,False,164
1,8,50,False,165
1,10,50,False,166
7,156,43,False,167
2,259,0,False,168
5,60,60,False,169
2,18,30,True,170
6,94,25,False,171
20,366,22,True,172
1,5,22,False,173
6,121,42,False,174
2,193,24,False,175
2,14,50,False,176
4,52,23,False,177
1,11,45,False,178
2,17,48,True,179
2,16,56,True,180
6,55,52,True,181
8,257,11,False,182
1,64,25,False,183
3,48,46,False,184
3,183,42,True,185
5,47,0,True,186
7,133,25,False,187
5,49,24,False,188
4,57,24,False,189
1,11,0,True,190
4,138,11,False,191
7,320,23,False,192
2,12,0,True,193
1,24,24,False,194
4,49,24,False,195
1,151,47,False,196
9,180,22,False,197
1,7,23,False,198
3,16,56,True,199
2,18,50,False,200
2,18,43,False,201
7,80,60,False,202
8,173,45,False,203
4,46,44,False,204
8,179,0,False,205
2,23,42,False,206
2,392,24,True,207
1,25,65,False,208
2,26,46,False,209
4,70,24,False,210
4,40,30,False,211
9,182,24,False,212
2,22,45,False,213
1,18,40,False,214
5,56,60,True,215
5,107,60,False,216
25,1234,23,False,217
3,43,75,False,218
3,30,0,False,219
10,240,42,False,220
4,59,23,False,221
7,144,43,False,222
5,65,45,False,223
2,27,0,True,224
4,52,22,False,225
5,46,60,False,226
5,103,43,False,227
3,28,30,False,228
3,148,24,False,229
3,32,55,False,230
7,154,43,False,231
10,232,42,False,232
2,38,24,True,233
10,124,25,False,234
6,110,22,False,235
5,50,43,False,236
3,26,60,False,237
1,16,75,False,238
5,98,43,True,239
3,23,53,False,240
6,90,43,False,241
3,51,42,False,242
4,197,45,False,243
3,30,43,False,244
1,26,25,False,245
2,24,24,False,246
2,24,60,False,247
3,28,56,False,248
4,20,59,True,249
4,85,22,False,250
2,20,60,False,251
2,172,53,False,252
1,149,60,False,253
3,43,22,False,254
6,53,28,False,255
6,137,25,False,256
2,26,60,False,257
1,13,60,False,258
10,214,42,False,259
3,220,0,False,260
1,75,0,False,261
7,102,43,True,262
6,95,43,True,263
1,9,40,True,264
2,29,45,False,265
1,8,60,False,266
4,73,44,False,267
4,102,11,False,268
2,24,24,True,269
6,107,25,False,270
9,204,45,False,271
1,10,27,True,272
3,48,44,False,273
4,50,22,False,274
4,62,42,False,275
6,105,43,False,276
2,13,47,False,277
1,8,45,False,278
1,8,81,False,279
3,23,0,True,280
7,176,45,False,281
3,34,0,True,282
2,20,23,True,283
8,200,25,False,284
7,125,22,False,285
6,240,11,True,286
3,47,24,True,287
4,140,11,False,288
1,12,24,False,289
5,190,24,True,290
4,30,0,False,291
3,27,50,False,292
3,24,54,True,293
7,146,22,False,294
1,10,11,False,295
6,128,42,True,296
4,46,49,True,297
6,80,0,False,298
2,16,52,True,299
2,14,0,False,300
3,30,45,True,301
1,161,25,False,302
1,197,45,False,303
3,27,40,False,304
5,84,22,False,305
4,38,60,False,306
4,24,22,False,307
2,39,24,False,308
3,50,24,True,309
6,134,44,False,310
3,30,50,False,311
3,27,60,False,312
1,179,0,False,313
4,30,30,True,314
6,107,42,False,315
1,14,25,False,316
